Kp,3,Ki,0.03,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
2642.68,99.6022,-55.7265,59.883,132.979,89,212
2648.68,99.6022,-55.7265,59.883,132.979,86,206
2654.86,99.6022,-55.7265,59.883,132.979,80,186
2660.78,99.6022,-55.7265,59.883,132.979,70,158
2666.8,99.6022,-55.7265,59.883,132.979,62,135
2672.79,99.6022,-55.7265,59.883,132.979,57,126
2678.72,99.6022,-55.7265,59.883,132.979,57,124
2684.73,99.6022,-55.7265,59.883,132.979,56,123
2690.82,99.6022,-55.7265,59.883,132.979,56,121
2696.89,99.6022,-55.7265,59.883,132.979,56,120
2702.81,99.6022,-55.7265,59.883,132.979,55,119
2708.65,99.6022,-55.7265,59.883,132.979,55,119
2714.69,99.6022,-55.7265,59.883,132.979,54,118
2720.69,104.237,-41.111,-245.831,95.5533,54,117
2726.65,104.237,-41.111,-245.831,95.5533,50,116
2732.7,104.237,-41.111,-245.831,95.5533,34,115
2738.78,104.237,-41.111,-245.831,95.5533,1,113
2744.71,104.237,-41.111,-245.831,95.5533,-48,107
2750.78,104.237,-41.111,-245.831,95.5533,-109,104
2756.8,104.237,-41.111,-245.831,95.5533,-162,100
2762.78,104.237,-41.111,-245.831,95.5533,-202,96
2768.81,104.237,-41.111,-245.831,95.5533,-228,93
2774.87,104.237,-41.111,-245.831,95.5533,-240,91
2780.86,104.237,-41.111,-245.831,95.5533,-243,90
2786.78,104.237,-41.111,-245.831,95.5533,-244,89
2792.7,104.237,-41.111,-245.831,95.5533,-245,88
2798.96,109.527,-27.1712,-526.591,55.663,-245,87
2804.8,109.527,-27.1712,-526.591,55.663,-247,87
2810.83,109.527,-27.1712,-526.591,55.663,-256,86
2816.77,109.527,-27.1712,-526.591,55.663,-281,84
2822.86,109.527,-27.1712,-526.591,55.663,-321,81
2828.86,109.527,-27.1712,-526.591,55.663,-376,75
2834.98,109.527,-27.1712,-526.591,55.663,-433,70
2840.92,109.527,-27.1712,-526.591,55.663,-479,65
2846.93,109.527,-27.1712,-526.591,55.663,-509,61
2852.93,109.527,-27.1712,-526.591,55.663,-524,58
2858.82,109.527,-27.1712,-526.591,55.663,-528,57
2864.85,109.527,-27.1712,-526.591,55.663,-528,56
2870.75,109.527,-27.1712,-526.591,55.663,-529,55
2877.17,114.095,-14.087,-526.591,55.663,-530,55
2883.83,114.095,-14.087,-817.452,18.0835,-530,55
2890.02,114.095,-14.087,-817.452,18.0835,-535,54
2895.82,114.095,-14.087,-817.452,18.0835,-553,52
2901.91,114.095,-14.087,-817.452,18.0835,-588,48
2907.91,114.095,-14.087,-817.452,18.0835,-638,42
2913.83,114.095,-14.087,-817.452,18.0835,-698,34
2919.83,114.095,-14.087,-817.452,18.0835,-750,27
2926.05,114.095,-14.087,-817.452,18.0835,-788,22
2931.8,114.095,-14.087,-817.452,18.0835,-809,18
2937.87,114.095,-14.087,-817.452,18.0835,-818,16
2943.91,114.095,-14.087,-817.452,18.0835,-820,16
2949.8,114.095,-14.087,-817.452,18.0835,-820,15
2956.55,123.725,-9.07578,-1123.34,1500,-820,15
2961.96,123.725,-9.07578,-1123.34,1500,-821,15
2967.96,123.725,-9.07578,-1123.34,1500,-822,16
2973.94,123.725,-9.07578,-1123.34,1500,-825,26
2979.99,123.725,-9.07578,-1123.34,1500,-832,53
2985.94,123.725,-9.07578,-1123.34,1500,-840,100
2991.96,123.725,-9.07578,-1123.34,1500,-852,163
2997.96,123.725,-9.07578,-1123.34,1500,-868,240
3003.97,123.725,-9.07578,-1123.34,1500,-887,334
3009.96,123.725,-9.07578,-1123.34,1500,-908,445
3016.03,123.725,-9.07578,-1123.34,1500,-932,565
3022.04,123.725,-9.07578,-1123.34,1500,-956,684
3027.94,123.725,-9.07578,-1123.34,1500,-980,804
3033.74,123.725,-9.07578,-1123.34,1500,-1003,922
3039.88,123.626,0.431642,-1441.34,1481.16,-1028,1045
