Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
898.661,15.4056,-20.3927,-533.516,100.256,-536,108
904.664,15.4056,-20.3927,-533.516,100.256,-536,108
910.694,15.4056,-20.3927,-533.516,100.256,-536,108
916.813,15.4056,-20.3927,-533.516,100.256,-536,108
922.817,15.4056,-20.3927,-533.516,100.256,-536,108
928.695,15.4056,-20.3927,-533.516,100.256,-536,108
934.568,15.4056,-20.3927,-533.516,100.256,-536,108
941.229,8.13626,-18.6727,-503.086,90.1418,-536,108
947.643,8.13626,-18.6727,-503.086,90.1418,-535,108
953.725,8.13626,-18.6727,-503.086,90.1418,-530,107
959.733,8.13626,-18.6727,-503.086,90.1418,-519,105
965.647,8.13626,-18.6727,-503.086,90.1418,-513,104
971.648,8.13626,-18.6727,-503.086,90.1418,-512,104
977.682,8.13626,-18.6727,-503.086,90.1418,-510,104
983.773,8.13626,-18.6727,-503.086,90.1418,-509,104
989.726,8.13626,-18.6727,-503.086,90.1418,-509,104
995.713,8.13626,-18.6727,-503.086,90.1418,-509,103
1001.83,8.13626,-18.6727,-503.086,90.1418,-508,103
1007.69,8.13626,-18.6727,-503.086,90.1418,-507,102
1014.67,8.13626,-18.6727,-503.086,90.1418,-506,102
1020.74,0.0164506,-15.8811,-457.402,74.1395,-505,102
1026.67,0.0164506,-15.8811,-457.402,74.1395,-504,100
1032.64,0.0164506,-15.8811,-457.402,74.1395,-497,97
1038.65,0.0164506,-15.8811,-457.402,74.1395,-479,90
1044.59,0.0164506,-15.8811,-457.402,74.1395,-462,81
1050.7,0.0164506,-15.8811,-457.402,74.1395,-455,76
1056.71,0.0164506,-15.8811,-457.402,74.1395,-453,75
1062.65,0.0164506,-15.8811,-457.402,74.1395,-452,73
1068.7,0.0164506,-15.8811,-457.402,74.1395,-451,72
1074.71,0.0164506,-15.8811,-457.402,74.1395,-450,71
1080.76,0.0164506,-15.8811,-457.402,74.1395,-450,71
1086.7,0.0164506,-15.8811,-457.402,74.1395,-450,71
1092.66,0.0164506,-15.8811,-457.402,74.1395,-450,70
1098.67,-9.39077,-12.2734,-367.825,54.1812,-450,70
1104.67,-9.39077,-12.2734,-367.825,54.1812,-446,69
1110.62,-9.39077,-12.2734,-367.825,54.1812,-432,66
1116.62,-9.39077,-12.2734,-367.825,54.1812,-404,61
1122.68,-9.39077,-12.2734,-367.825,54.1812,-379,57
1128.62,-9.39077,-12.2734,-367.825,54.1812,-369,54
1134.73,-9.39077,-12.2734,-367.825,54.1812,-368,53
